track_id,genre,track_name,artist_name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
001UkMQHw4zXfFNdKpwXAF,contemporary r&b,Brand New Man - with Luke Combs,Brooks & Dunn,70,0.573,0.846,7,-4.866,1,0.0344,0.00372,7.87e-05,0.29,0.562,127.061,191053,4
001eyxfoYptAWzvF4ewLrR,"german pop, german pop","Die Meistersinger von Nürnberg, WWV 96 / Act III: ""Morgenlich leuchtend""",Richard Wagner,23,0.326,0.181,0,-17.757,1,0.0473,0.982,0.0327,0.198,0.144,135.032,602267,3
001t0KqKE9BNCX3YYQvHsw,hollywood,Baby It's Cold Outside,Idina Menzel,0,0.553,0.476,0,-8.869,1,0.0649,0.647,0.0,0.281,0.558,113.4,166147,3
003AYByFMi8hK6cISwRV59,contemporary gospel,I've Got Victory,The Angelic Gospel Singers,24,0.565,0.643,11,-9.734,0,0.148,0.0227,5.32e-05,0.145,0.803,167.757,169973,4
003DYiYPxYSgbtRTXzkcf6,jazz funk,Brownout,Ghost Funk Orchestra,42,0.557,0.845,5,-9.292,0,0.0466,0.269,0.859,0.13,0.799,111.562,128090,4
003FTlCpBTM4eSqYSWPv4H,"punk, neo r&b","Swing, Swing",The All-American Rejects,68,0.553,0.717,7,-5.857,1,0.0318,6.48e-05,0.128,0.0385,0.318,127.947,233267,4
003hsVG4mFNqzLkhVvtEmE,anime lo-fi,Merry-Go-Round of Life (Howl's Moving Castle Lofi),Mik,23,0.539,0.338,7,-14.268,0,0.0538,0.921,0.887,0.0998,0.0637,147.96,122583,3
006s65xNScqxPRUEK8jOjL,vgm instrumental,Title Theme,Super Piano 64,27,0.453,0.21,1,-25.35,1,0.0503,0.983,0.933,0.0962,0.0732,139.298,198000,4
006wietMa2lRnpuKYb4owW,bedroom pop,Heather,Conan Gray,4,0.357,0.425,5,-7.301,1,0.0331,0.586,0.0,0.322,0.273,102.074,198040,3
00A7EAMG9RVr2MnwdqoF8u,"neo-classical, neo-classical",Brothers,Ludovico Einaudi,36,0.39,0.446,0,-18.32,1,0.0501,0.977,0.848,0.0888,0.046,131.979,291331,4
00B7TZ0Xawar6NZ00JFomN,pop rap,Best Life (feat. Chance The Rapper),Cardi B,53,0.62,0.625,9,-7.438,1,0.553,0.287,0.0,0.314,0.665,167.911,284856,4
00CAvPIbaOTN0dJAEC0fsT,"praise, gospel",Your Great Name,Todd Dulaney,47,0.539,0.869,10,-5.266,1,0.0467,0.0108,7.82e-06,0.361,0.284,103.02,379563,4
00CVnIBfJKSzgGzsCT3Gaf,sophisti-pop,Money's Too Tight (To Mention) - The Cutback Mix,Simply Red,0,0.763,0.86,11,-5.692,0,0.0421,0.27,0.0429,0.0907,0.906,112.233,519293,4
00E0Z2jrF7reoHps4zcbWQ,house,Car Keys (Ayla),Alok,81,0.675,0.986,9,-4.606,0,0.0974,0.0868,4.96e-06,0.128,0.57,126.004,146501,4
