id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Labels
4f4HLo6L9CJNhD4mEYxrCL,"Pure Imagination - From ""Willy Wonka & The Chocolate Factory"" Soundtrack",53,260226,FALSE,['Gene Wilder'],['0tk9OWliRGyjkj9eLH6siU'],1/1/71,0.251,0.115,10,-20.223,0,0.038,0.695,2.11E-05,0.617,0.116,70.645,4,['amazement']
1mXuMM6zjPgjL4asbBsgnt,Firework,72,227893,FALSE,['Katy Perry'],['6jJ0s89eD6GaHleKKya26X'],24/8/10,0.638,0.832,8,-5.039,1,0.049,0.141,0,0.113,0.648,124.071,4,['amazement']
4EyzhvYqC5uDA8iYTZNKiw,Wonderful World,47,125840,FALSE,['Sam Cooke'],['6hnWRPzGGKiapVX1UCdEAC'],3/2/17,0.686,0.49,11,-10.385,1,0.0359,0.748,0,0.444,0.916,128.293,4,['amazement']
05wIrZSwuaVWhcv5FfqeH0,Walking On Sunshine,81,238733,FALSE,['Katrina & The Waves'],['2TzHIUhVpeeDxyJPpQfnV3'],1985,0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902,4,['amazement']
75JFxkI2RXiU7L9VXzMkle,The Scientist,87,309600,FALSE,['Coldplay'],['4gzpq5DPGxSnKTe4SA8HAU'],8/8/02,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46E-05,0.11,0.213,146.277,4,['amazement']
3U5JVgI2x4rDyHGObzJfNf,Unwritten,80,259333,FALSE,['Natasha Bedingfield'],['7o95ZoZt5ZYn31e9z1Hc0a'],30/8/04,0.706,0.8,5,-6.333,1,0.0399,0.00584,0,0.0822,0.629,100.011,4,['amazement']
30SCXVFyQGOFMdKnbgJS18,I Can See Clearly Now,61,166933,FALSE,['Johnny Nash'],['0nAVvgfE9yI4DwvMiYwk8a'],4/5/96,0.658,0.468,2,-13.19,1,0.0493,0.521,8.38E-05,0.066,0.684,124.227,4,['amazement']
25U7raB3ZSszayTYClh4hF,Somewhere Over The Rainbow_What A Wonderful World,73,308026,FALSE,"[""Israel Kamakawiwo'ole""]",['4ogvuDRerGhZfSf7TtzHlr'],1/11/93,0.663,0.168,0,-13.725,1,0.0448,0.928,5.68E-05,0.361,0.678,85.005,4,['amazement']
0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,87,267866,FALSE,['Coldplay'],['4gzpq5DPGxSnKTe4SA8HAU'],19/5/14,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,4,['amazement']
29U7stRjqHU6rMiS8BfaI9,What A Wonderful World,80,139226,FALSE,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1/1/68,0.271,0.165,5,-20.652,1,0.0351,0.729,1.60E-06,0.118,0.203,77.082,4,['amazement']
1BWsOxeMx83OrKGCV4gxly,I Feel the Earth Move,69,178560,FALSE,['Carole King'],['319yZVtYM9MBGqmSQnMyY6'],1971,0.711,0.576,7,-8.784,0,0.0305,0.648,0.00226,0.0528,0.644,120.117,4,['amazement']
23khhseCLQqVMCIT1WMAns,Magic,75,285014,FALSE,['Coldplay'],['4gzpq5DPGxSnKTe4SA8HAU'],19/5/14,0.738,0.482,6,-8.917,0,0.0402,0.0266,0.621,0.106,0.352,93.457,4,['amazement']
3skn2lauGk7Dx6bVIt5DVj,Starlight,76,240213,FALSE,['Muse'],['12Chz98pHFMPJEknJQMWvI'],19/6/06,0.55,0.874,4,-4.046,1,0.0321,0.000436,1.02E-05,0.206,0.318,121.61,4,['amazement']
5hnyJvgoWiQUYZttV4wXy6,Chasing Cars,84,267960,FALSE,['Snow Patrol'],['3rIZMv9rysU7JkLzEaC5Jp'],1/1/06,0.56,0.595,9,-4.53,1,0.0274,0.199,6.47E-05,0.132,0.144,104.011,4,['amazement']
1ERshJBUZysordGDZr5B3t,How Far I'll Go,55,163386,FALSE,"[""Auli'i Cravalho""]",['5mnS9jJdKQQcRSqFu5YPVe'],18/11/16,0.571,0.307,1,-10.958,0,0.0499,0.649,0,0.178,0.108,83.72,4,['amazement']
7pKfPomDEeI4TPT6EOYjn9,Imagine - Remastered 2010,80,187866,FALSE,['John Lennon'],['4x1nvY2FN8jxqAFA0DA02H'],9/9/71,0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,4,['amazement']
