id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Labels
3pRaLNL3b8x5uBOcsgvdqM,Hallelujah,72,413826,FALSE,['Jeff Buckley'],['3nnQpaTvKb5jCQabZefACI'],1994,0.324,0.136,0,-10.33,1,0.0318,0.931,0.00117,0.176,0.0831,97.256,3,['calmness']
5yyRH93h4Pm6tXXYTxt7ea,The Blower's Daughter,67,286653,FALSE,['Damien Rice'],['14r9dR01KeBLFfylVSKCZQ'],24/3/03,0.342,0.2,4,-13.569,1,0.0324,0.134,0.000153,0.341,0.0743,133.113,4,['calmness']
2mCF8L0brIs88eH6Kf2h9p,Fast Car,71,212424,FALSE,"['Jonas Blue', 'Dakota']","['1HBjj22wzbscIZ9sEb5dyf', '2zzpznMuhKlKlqh1ma7Sms']",4/12/15,0.644,0.57,9,-6.994,1,0.052,0.484,0,0.299,0.527,113.945,4,['calmness']
67Hna13dNDkZvBpTXRIaOJ,Teardrop,74,330773,FALSE,['Massive Attack'],['6FXMGgJwohJLUSr5nVlf9X'],1/1/98,0.615,0.419,11,-8.8,0,0.0395,0.0173,0.497,0.135,0.216,76.997,4,['calmness']
3B3eOgLJSqPEA0RfboIQVM,Skinny Love,74,238520,FALSE,['Bon Iver'],['4LEiUm1SRbFMgfqnQTwUbQ'],19/2/08,0.592,0.263,4,-14.029,0,0.0568,0.845,5.68E-06,0.127,0.109,76.366,4,['calmness']
35KiiILklye1JRRctaLUb4,Holocene,60,336613,FALSE,['Bon Iver'],['4LEiUm1SRbFMgfqnQTwUbQ'],21/6/11,0.374,0.304,1,-14.52,1,0.0302,0.943,0.298,0.126,0.147,147.969,4,['calmness']
3JOVTQ5h8HGFnDdp4VT3MP,Mad World,71,189506,FALSE,"['Gary Jules', 'Michael Andrews']","['5oRnbmgqvvq7fVlgk4vcEa', '0RkqytrwoGyXGvDiZwT6i2']",1/1/01,0.344,0.0585,3,-17.212,1,0.0373,0.976,0.000362,0.103,0.323,174.149,4,['calmness']
3arKRnq9OUd7yq6LRwVW8I,Soul to Squeeze,72,289533,FALSE,['Red Hot Chili Peppers'],['0L8ExT028jH3ddEcZwqJJ5'],18/11/03,0.663,0.546,5,-5.234,1,0.0269,0.0322,0.000572,0.107,0.656,88.171,4,['calmness']
54KFQB6N4pn926IUUYZGzK,To Build A Home,77,371320,FALSE,"['The Cinematic Orchestra', 'Patrick Watson']","['32ogthv0BdaSMPml02X9YB', '7bPs6jf983f0bjRAt1yxDM']",7/5/07,0.264,0.122,9,-15.399,1,0.0349,0.885,0.349,0.094,0.0735,148.658,4,['calmness']
4KROoGIaPaR1pBHPnR3bwC,Pink Moon,71,124000,FALSE,['Nick Drake'],['5c3GLXai8YOMid29ZEuR9y'],25/2/72,0.642,0.427,3,-8.471,1,0.0402,0.871,0.0904,0.124,0.404,82.344,4,['calmness']
0eBryM7ePQH3Klt3jz8xZd,First Day of My Life,71,188877,FALSE,['Bright Eyes'],['5o206eFLx38glA2bb4zqIU'],25/1/05,0.596,0.253,1,-14.369,0,0.0349,0.896,5.17E-05,0.102,0.368,95.162,4,['calmness']
6gDXbcILAyBa2skSdbUYq7,Hurt,67,243373,FALSE,['Christina Aguilera'],['1l7ZsJRRS8wlW3WfJfPfNS'],14/8/06,0.327,0.295,4,-6.907,0,0.0313,0.775,0,0.107,0.143,148.574,4,['calmness']
0bhBtXHQX3u6dSAPF59qGx,Flume,65,219000,FALSE,['Bon Iver'],['4LEiUm1SRbFMgfqnQTwUbQ'],19/2/08,0.448,0.143,11,-17.012,1,0.0328,0.929,0.0356,0.109,0.0873,132.829,4,['calmness']
5ihS6UUlyQAfmp48eSkxuQ,Landslide,81,199493,FALSE,['Fleetwood Mac'],['08GQAI4eElDnROBrJRGE0X'],11/7/75,0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,4,['calmness']
3hhbDnFUb2bicI2df6VurK,River,76,240200,FALSE,['Leon Bridges'],['3qnGvpP8Yth1AqSBMqON5x'],23/6/15,0.635,0.184,8,-10.785,1,0.0456,0.665,0,0.146,0.177,128.424,4,['calmness']
24AIahNHzBxm9S12peXbnG,"Moon River (From ""Breakfast at Tiffany's"")",63,162893,FALSE,['Andy Williams'],['4sj6D0zlMOl25nprDJBiU9'],1962,0.281,0.212,6,-15.513,1,0.031,0.86,7.73E-05,0.119,0.195,95.555,3,['calmness']
