id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Labels
2BJNR5f0IKbqqrYmkcB3Ps,A szerelem jó,0,189773,0,Kriszta Kovats,['7lUbnp4jqLI7isEweXxFXC'],1/7/39,0.721,0.728,2,-14.874,1,0.037,0.176,3.27E-05,0.0798,0.9,97.316,4,['joyful activation']
3lcNhcu2buwxLMMRh0AF3K,Yoo Hoo (Extended Version),0,42200,0,Chorus,['2Bu3DMTHHdXW4jnhoWHhPa'],1939,0.687,0.786,10,-8.789,1,0.142,0.657,0.892,0.23,0.444,125.215,4,['joyful activation']
2ugdYmRuQpUCqjszvlubUw,Bolero At The Savoy,7,170760,0,"""Anita ODay""",['5QGnprJtpZmk3OiDqspPlB'],1941,0.482,0.475,8,-9.069,1,0.0538,0.895,0.0633,0.0624,0.699,177.643,4,['joyful activation']
5J9JvhvmiRN8bVxrJZqhZa,Heebie Jeebies,0,182227,0,Louis Armstrong & His Hot Five,['0t4VVR2T9Sb0z3NdDdEU6S'],1927,0.744,0.237,7,-10.489,1,0.0861,0.996,0.446,0.113,0.621,77.855,4,['joyful activation']
1TwNulrLIjsB3O9SOeADqx,La Chaine,0,179040,0,Damia,['3XbKvMoMrInANw4FfHSG1y'],1928,0.344,0.223,8,-13.807,1,0.0636,0.844,1.61E-06,0.154,0.418,74.259,4,['joyful activation']
14mZWfp9EiHT8QlrabHuD1,Shall We Dance,5,150747,0,Fred Astaire,['4BtDAwCZhR6nPrJtbVgQNX'],1932,0.733,0.554,0,-10.665,1,0.414,0.504,0.112,0.246,0.778,122.052,4,['joyful activation']
1q3qqnmaHcPFHLpRYcHteg,Woodchopper's Ball,2,188493,0,Woody Herman,['2KSxJY1WxGGVYSmoM0N54P'],1932,0.491,0.489,1,-7.301,1,0.0482,0.87,0.159,0.186,0.782,185.932,4,['joyful activation']
3dGvcdydFvHT6MeTk1gBqS,Let Yourself Go,14,155067,0,Fred Astaire,['4BtDAwCZhR6nPrJtbVgQNX'],1935,0.684,0.538,3,-12.756,1,0.53,0.981,0.942,0.123,0.898,116.6,4,['joyful activation']
0kXZARN2ArYqLbQVUmnkVT,Ce știi tu ce-i dragostea,0,195109,0,Petre Alexandru,['1PXHd3cta9kDCwpxhE6Z2i'],1/1/35,0.351,0.527,3,-9.731,1,0.0482,0.973,0.000112,0.221,0.448,121.105,3,['joyful activation']
2tg6AWZqgN5XAOr8zHTjcG,Si Tu Reviens,0,166800,0,Reda Caire,['1igk91v6MdxfcEVLdznyH1'],1935,0.426,0.255,2,-15.01,1,0.043,0.959,0.00033,0.227,0.468,129.499,4,['joyful activation']
7hHnqCBaDXQ9xMh7WBCPtY,'Twas the Night Before Christmas,5,131667,0,Art Carney,['1oWORwsdxr3EcavVfiYxfS'],1936,0.63,0.739,8,-11.448,1,0.589,0.788,0,0.0799,0.825,203.315,4,['joyful activation']
6jO6eAQG1JW7fel2csJ5XQ,In The Mood,24,172267,0,The Andrews Sisters,['2NCGI6dLTxLdI9XHdv7QfM'],1/1/37,0.81,0.398,0,-10.405,0,0.253,0.816,0,0.174,0.835,140.665,4,['joyful activation']
6wE5wYDCDfhhJUEzv8iub4,Don't Fence Me In,11,146133,0,"Willie Nelson, Leon Russell","['5W5bDNCqJ1jbCgTxDD0Cb3', '6r1Xmz7YUD4z0VRUoGm8XN']",1937,0.794,0.298,2,-13.999,1,0.0545,0.569,0,0.204,0.679,116.045,4,['joyful activation']
3U3EnJOSGamxCes6jdRdfO,Four,0,199054,0,Mushy Peas,['7FUVtAMuAvXbrDnOZUJBkr'],17/1/37,0.643,0.455,9,-12.647,1,0.0675,0.704,0.0459,0.129,0.325,96.38,4,['joyful activation']
1wjpuZ24mVP7w6TqIuqd6E,Heebie Jeebies,10,171733,0,Louis Armstrong & His Hot Five,['0t4VVR2T9Sb0z3NdDdEU6S'],1925,0.668,0.321,1,-10.663,1,0.0916,0.983,2.67E-05,0.141,0.592,164.459,4,['joyful activation']
