id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Labels
0ocpdYZ76nPF1qLloIfudz,My Baby I've Been Your Slave,3,184800,0,Sonny Boy Williamson II,['69VgCcXFV59QuQWEXSTxfK'],1938,0.551,0.392,4,-5.146,0,0.057,0.989,0.0112,0.0891,0.67,69.806,4,['nostalgia']
5yV6RArxdxoBytChBuz3d1,The Right Kind Of Life,3,202733,0,Sonny Boy Williamson II,['69VgCcXFV59QuQWEXSTxfK'],1938,0.516,0.422,0,-4.312,1,0.0688,0.974,3.09E-06,0.291,0.757,94.828,4,['nostalgia']
03aHsmrkjLNMFujGhK7ZFd,When It's Sleepy Time Down South - Live,9,203827,0,Louis Armstrong,['19eLuQmk9aCobbVDHc6eek'],1928,0.482,0.127,1,-16.145,1,0.0454,0.926,0.000366,0.661,0.249,67.099,4,['nostalgia']
1xKRwUhgYO5FEsHYXfdQgH,The Jazz Fiddler,6,192267,0,Mississippi Sheiks,['1yhcG1yQNDC2i8JHlB3HRo'],1930,0.752,0.459,3,-6.093,1,0.0403,0.937,0.00781,0.328,0.962,105.526,4,['nostalgia']
4vkWZ8CqUxF4roCTLpzCe5,Dark Holler Blues,12,178416,0,Clarence Ashley,['62OfrERsnZFWXyaruPhOh7'],16/4/31,0.586,0.317,9,-11.837,1,0.0546,0.987,4.14E-06,0.325,0.534,138.497,4,['nostalgia']
49cky9L7ru8zoAHvIHFbUB,When It's Sleepy Time Down South,2,203527,0,Louis Armstrong Orchestra,['3kxKEf21b0e023r7Uvk5nq'],1/1/31,0.593,0.168,3,-13.476,1,0.182,0.993,0.000874,0.14,0.403,103.818,4,['nostalgia']
595xmcbGIdf9C0A2rQctCE,My Sweet (Roy Fox),7,184360,0,Roy Fox,['58nJeJQCASGZeLBeyfxRQc'],1934,0.321,0.0686,7,-21.358,1,0.0411,0.974,0.046,0.116,0.262,64.494,4,['nostalgia']
73whJJAb0mTVO6zroUzhVc,There are two two sides in every girl,0,197000,0,Jimmy Durante,['5FNHfTn3yzVpqdUyWwej0v'],2/2/34,0.716,0.393,10,-11.641,1,0.755,0.954,5.50E-06,0.0424,0.68,126.916,4,['nostalgia']
0hUS6HkyX8KGNyDxKtS3Ra,Roll In My Sweet Baby's Arms,0,149600,0,The Monroe Brothers,['4eaGB6IFAhm0pqXElO5MJZ'],1936,0.403,0.372,7,-16.671,1,0.0374,0.95,0.505,0.102,0.949,172.094,4,['nostalgia']
0wTJBRFhzFdHH8nKG2BioF,I'll Be Alone,4,155667,0,Roy Acuff,['7heUyuJw3gZftFZRa1rV6M'],1936,0.59,0.284,5,-11.423,1,0.0283,0.991,1.64E-05,0.446,0.669,91.496,4,['nostalgia']
7rIJoIHeTkxJLNma31SODS,My Kind Of Man,5,180400,0,Ethel Waters,['3INcDDCxVKMIQT6rfR7kud'],1925,0.468,0.149,10,-12.323,1,0.0516,0.99,2.51E-06,0.0854,0.505,134.243,4,['nostalgia']
2gyqc4p3WoxKsc6zaXF4hM,Backwater Blues,22,198053,0,Bessie Smith,['5ESobCkc6JI4tIMxQttqeg'],1923,0.516,0.146,2,-8.985,1,0.0454,0.993,0.0223,0.172,0.412,71.144,3,['nostalgia']
0WviwuG403gqtW6bZevBpP,Aquarius,52,288360,0,"Galt MacDermot, Tom Pierson","['3b6TinIPahsS8iSCYAeinr', '37pKA6kY6h4rcFUBwrrTDk']",1979,0.689,0.62,8,-10.415,1,0.0644,0.0614,0.00209,0.147,0.816,81.597,4,['nostalgia']
5KQZ5tJkPRfVg3HzvrMrhU,Tennessee,38,142000,0,"Hank Williams, Jr.",['2dyeCWctcFRt3Pha76ONgb'],1981,0.64,0.543,5,-11.737,1,0.143,0.449,1.70E-06,0.0811,0.545,91.23,4,['nostalgia']
1XCt27nKEY66dBkvBWBmnV,Saturday Nite,40,242067,0,"Earth, Wind & Fire",['4QQgXkCYTt3BlENzhyNETg'],1976-09,0.663,0.729,4,-10.704,1,0.0556,0.117,0.0138,0.672,0.963,106.213,4,['nostalgia']
