id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Labels
7JexE4guQLwVX9qXEKgu4r,"Me, Myself and I - Take 2",4,155400,0,Billie Holiday,['1YzCsTRb22dQkh9lghPIrp'],1937,0.663,0.327,6,-9.627,0,0.0717,0.918,3.13E-06,0.317,0.755,156.131,4,['power']
2tXeDAaIHxBksEZWq3rc9e,Rose Room,0,175133,0,Sonny Davis,['47GqH3B5P9SkgzhjVTcq4K'],1937,0.686,0.713,5,-4.806,1,0.043,0.779,0.89,0.0898,0.917,89.087,4,['power']
4wwaqsDWnw2qehX9ZaSgKV,Minor Swing,0,276747,0,Sonny Davis,['47GqH3B5P9SkgzhjVTcq4K'],1937,0.725,0.789,0,-4.271,0,0.0344,0.488,0.942,0.142,0.475,97.683,4,['power']
7j1doqIYkCCDw1f6Ga5fYR,After You've Gone,0,318453,0,Sonny Davis,['47GqH3B5P9SkgzhjVTcq4K'],1937,0.601,0.706,7,-4.802,1,0.0355,0.63,0.449,0.211,0.733,123.154,4,['power']
0FEmpTYaZixqPdJDJeFvbv,The Jumpin' Jive,1,169497,0,Cab Calloway,['03cwCzIWQ8BRmXjGPDAL04'],1938,0.693,0.474,5,-13.112,0,0.181,0.877,0.00473,0.134,0.626,91.834,4,['power']
1UozAHJPjUi3TXRTO0pNcO,Good Gravy,2,172107,0,Sonny Boy Williamson II,['69VgCcXFV59QuQWEXSTxfK'],1938,0.678,0.379,5,-3.222,1,0.0781,0.966,3.72E-06,0.0471,0.92,107.133,4,['power']
2QkHZjv7p4qMDg7SEmWoTh,Reefer Man,2,174563,0,Cab Calloway,['03cwCzIWQ8BRmXjGPDAL04'],1938,0.803,0.321,5,-13.454,1,0.135,0.945,0.00217,0.149,0.808,127.846,4,['power']
2wwJelRqypyWPQ41kVGW0V,Shao Qing Jia Zhuang Tan Qi,0,389880,0,Lao Sai Bao Feng Ban,['2jbowZgjI0JgtjjH0Zwxqq'],1/1/38,0.571,0.0556,1,-15.23,1,0.171,0.994,0,0.138,0.254,62.553,4,['power']
134sd3lxnMWYzvKU9dWmA3,Du gamle måne - track version,0,225933,0,Arne Weel,['5vRVRfZDVx39q1MqSx7VLz'],1938,0.358,0.0906,9,-21.245,1,0.0423,0.995,0.545,0.119,0.233,104.072,4,['power']
54h1RKrrFJDsNOfhwmqu9o,In the Mood - Live,52,209573,0,Glenn Miller,['2aAHdB5HweT3mFcRzm0swc'],1939,0.463,0.654,8,-9.72,1,0.0659,0.824,0.917,0.372,0.592,175.204,4,['power']
0TKSae93QTlPkEQj2hIxuw,El Aesh We El Malh,1,601066,0,Layla Mourad,['4XmfbuyoQBGIMMbDXdFZJZ'],1/1/39,0.317,0.434,11,-4.388,0,0.0315,0.806,0,0.142,0.439,102.508,4,['power']
1I5ddXMN93kzENL2fUtqes,Dil Men Tu Ankhon Men Tu,0,195453,0,Menka Bai,['0IsmoN5bFwkGwrWMDjyGE5'],1/12/39,0.371,0.226,7,-13.059,0,0.072,0.99,0.874,0.283,0.543,82.034,4,['power']
2ygUurJXGZJZNfHLlgeNXv,Man From Mars,0,261713,0,Artie Shaw,['5wam12nGWDBIrLDV78TNSF'],1/1/39,0.565,0.352,2,-14.391,1,0.212,0.854,0.898,0.475,0.715,102.094,4,['power']
37DpIXsUel1gIP7kmsLmdi,A Man and His Dream,0,210133,0,Jack Teagarden And His Orchestra,['7dfS1dAfd8hKOE50DAbCko'],1939,0.556,0.225,7,-11.899,1,0.037,0.984,0.432,0.237,0.592,121.652,4,['power']
3n0HjzHLKuzg7Dfcm2TBhQ,My Man (Alternate Version),0,174960,0,Alice Faye,['7Jr5Krm7sO2as96uMoDfhK'],1939,0.353,0.23,11,-12.407,0,0.0499,0.813,0,0.346,0.317,85.787,4,['power']
