id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Labels
69vS2obN7I9dmpJz83oIGo,Ain't the Gravy Good?,0,186787,0,The 1937 Flood,['6vId2LK5gk2yvSkXFXKzBh'],1937,0.638,0.442,7,-6.249,1,0.038,0.604,0,0.115,0.878,132.578,4,['sadness']
6MNQukyVgzEuGooGDYpCEP,Now They Call It Swing - Take 1,4,186373,0,Billie Holiday,['1YzCsTRb22dQkh9lghPIrp'],1937,0.577,0.252,5,-13.473,1,0.0682,0.814,0,0.074,0.814,149.374,4,['sadness']
04QEv17R8OMFVKoJAVLj8V,Get Your Reinhardt Out,0,106787,0,Sonny Davis,['47GqH3B5P9SkgzhjVTcq4K'],1937,0.769,0.802,0,-7.889,1,0.0322,0.649,0.742,0.0973,0.963,122.146,4,['sadness']
765kaid8bnMhjCKoQ1Ji2B,This Can't Be Love,17,135500,0,Patrick Hunt,['3t4jXLaLsUFKjmhA5NiNYL'],1938,0.766,0.17,9,-17.258,1,0.064,0.966,0.954,0.111,0.576,122.928,4,['sadness']
4bvisc710cyNYiwjL8mcZo,Wait for the Light to Shine,13,153107,0,Roy Acuff,['7heUyuJw3gZftFZRa1rV6M'],1938,0.67,0.376,9,-9.544,1,0.0296,0.878,5.66E-06,0.709,0.766,107.086,4,['sadness']
0LVNarppo2xHif0GRCCFzK,Avalon - Live,6,253427,0,Benny Goodman,['1pBuKaLHJlIlqYxQQaflve'],1938,0.69,0.797,3,-9.853,1,0.0315,0.831,0.716,0.889,0.668,125.644,4,['sadness']
0NA1ncDYyelrB7mOx7MINy,The Precious Jewel,6,165140,0,Roy Acuff,['7heUyuJw3gZftFZRa1rV6M'],1938,0.538,0.239,7,-10.619,1,0.0932,0.963,0,0.373,0.562,175.173,3,['sadness']
76sqwGGnLcEOQfsCXjLFqW,The Ghost of Smokey Joe,6,167323,0,Cab Calloway,['03cwCzIWQ8BRmXjGPDAL04'],1938,0.745,0.205,5,-12.133,0,0.176,0.933,0.000139,0.156,0.392,108.715,4,['sadness']
7CGO86tLEtwxrBsc2f8kf7,Great Speckle Bird,7,171363,0,Roy Acuff And His Crazy Tennesseans,['74ai7tm6tsGtWjcM64ojRT'],1938,0.695,0.24,5,-10.003,1,0.0378,0.974,0,0.187,0.709,125.418,4,['sadness']
06d2xkViOFCWQXR7hYCfcN,Nunuțo,4,174968,0,Cristian Vasile,['7FLIM5DxOgzvUQoEDVGJ1x'],1/1/38,0.66,0.295,0,-11.338,0,0.0577,0.995,0,0.411,0.659,116.245,4,['sadness']
0Flc3LqCcD5yvp6tFcGHz2,Avalon - Live,0,22973,0,Benny Goodman,['1pBuKaLHJlIlqYxQQaflve'],1938,0.716,0.214,3,-21.489,1,0.946,0.985,0,0.154,0.849,60.555,3,['sadness']
0Tp7zmZrJ2mmSArhyifp0J,Nu!,0,190903,0,Cristian Vasile,['7FLIM5DxOgzvUQoEDVGJ1x'],1/1/38,0.46,0.241,0,-14.111,1,0.0409,0.989,4.28E-05,0.193,0.297,115.169,4,['sadness']
0fLJsq4tg2Ue5RRuQqS8Ps,The Scat Song,3,161763,0,Cab Calloway,['03cwCzIWQ8BRmXjGPDAL04'],1938,0.721,0.476,3,-13.285,1,0.107,0.966,0.119,0.113,0.763,128.021,4,['sadness']
3bfeTnVXGtZPprwhE14NQT,Portera Véia,0,179162,0,Paraguassu,['7zFoxDwHIHK3DrBudYc9Nl'],1/12/38,0.474,0.133,1,-15.241,0,0.0522,0.996,0.059,0.109,0.25,168.926,4,['sadness']
3r34Pd9cWMyKuOPBZk8P75,Tarzan of Harlem,1,168497,0,Cab Calloway,['03cwCzIWQ8BRmXjGPDAL04'],1938,0.748,0.431,5,-14.656,0,0.0752,0.8,0.00185,0.234,0.699,111.644,4,['sadness']
