id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Labels
1p0Qy4TNA99gtn3z2ImP6D,等著你回來,13,181293,0,白光,['7thwsuVqcX7BytxdLNT51E'],1/5/42,0.54,0.232,7,-13.761,0,0.0398,0.992,0.0831,0.193,0.412,87.101,4,['solemnity']
3KSxtCOb0dc5qBMRvYyv2l,Full Force Gale,44,194107,0,Van Morrison,['44NX2ffIYHr6D4n7RaZF7A'],1979-08,0.667,0.897,2,-5.364,1,0.0348,0.418,3.42E-05,0.116,0.947,139.484,4,['solemnity']
1V3aaP9D7h6uwf5RfRDmln,Lola rastaquouère,41,221880,0,Serge Gainsbourg,['01C9OoXDvCKkGcf735Tcfo'],1/1/79,0.851,0.465,5,-15.621,0,0.0691,0.013,0.244,0.106,0.862,129.058,4,['solemnity']
1CAEHafiiJKjp6t9hfYX7f,Forever Loving Jah,61,242333,0,Bob Marley & The Wailers,['2QsynagSdAqZj3U9HgDzjD'],1980,0.774,0.531,11,-7.176,0,0.0446,0.0595,0,0.0409,0.966,142.001,4,['solemnity']
1PtJclc46wTk367PlsU6Uj,I Have A Dream,63,285413,0,ABBA,['0LcJLqbBmaGUft1e9Mm8HV'],1979,0.549,0.374,10,-12.049,1,0.0244,0.6,0,0.178,0.439,104.311,4,['solemnity']
3mZ6PVxWBhCycZxeEJQDNs,State of Independence,52,351493,0,Donna Summer,['2eogQKWWoohI3BSnoG7E2U'],19/7/82,0.747,0.696,4,-8.696,1,0.177,0.182,0.0574,0.0616,0.875,169.502,4,['solemnity']
7kldRiZk6Wan2uFfb9qfX9,Give Thanks & Praises,48,194027,0,Bob Marley & The Wailers,['2QsynagSdAqZj3U9HgDzjD'],1983,0.912,0.315,7,-12.22,1,0.212,0.237,3.44E-05,0.0642,0.735,117.461,4,['solemnity']
3qLZ866ZfaK0B0R5FIqXLG,She Sells Sanctuary,70,252533,0,The Cult,['49DW3KvkyjHO35mK1JnSyS'],18/10/85,0.55,0.765,7,-8.684,1,0.0287,4.76E-06,0.873,0.132,0.419,139.46,4,['solemnity']
1cFPuvgwmSt5cBMVBy90nj,I Know,47,199307,0,Bob Marley & The Wailers,['2QsynagSdAqZj3U9HgDzjD'],1983,0.635,0.703,11,-6.934,0,0.0402,0.0546,0,0.079,0.745,89.566,4,['solemnity']
14wCckwoW9dj8DUyD9nkqc,God Bless The Children of the Beast,40,90760,0,Mötley Crüe,['0cc6vw3VN8YlIcvr1v7tBL'],1983,0.506,0.36,9,-14.282,0,0.0313,0.738,0.983,0.335,0.325,117.44,4,['solemnity']
2ABj4CHkKGkOL3bs92F1Qc,Rasta Poue,39,321866,0,Alpha Blondy,['41ekW4MXG59xJMXR8dX1OG'],1982,0.657,0.672,10,-5.975,1,0.26,0.184,4.48E-06,0.427,0.807,157.828,4,['solemnity']
1HIpZLA28pXpKvuFTvlZHH,Hymn,40,267400,0,Ultravox,['3iUjRVvYCsMfz7tuAQtBDI'],2/11/84,0.514,0.661,0,-11.447,1,0.0415,0.00441,0.00112,0.116,0.627,134.834,4,['solemnity']
6d6frSYthFA0LyVjpzxMlY,This Train,42,509293,0,Bunny Wailer,['389zc5Rwe0MPcE6mSF4AjC'],8/9/76,0.487,0.306,7,-16.312,1,0.136,0.51,0.137,0.117,0.479,152.099,4,['solemnity']
7w3ymiN6ciV6H11PpJLLIX,Nobody Can Live Forever,42,172855,0,Tim Maia,['0jOs0wnXCu1bGGP7kh5uIu'],5/1/76,0.8,0.572,7,-9.997,1,0.0541,0.0614,1.53E-06,0.13,0.851,79.824,4,['solemnity']
4bGkklcgdZvIUtoqIc7wcd,Something For Nothing,39,238933,0,Rush,['2Hkut4rAAyrQxRdof7FVJq'],1/4/76,0.368,0.658,2,-7.678,1,0.0521,0.00897,0,0.274,0.64,140.989,4,['solemnity']
