id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumental,liveness,valence,tempo,time_signature,labels
5noY3HlTIAG7zWTvo5Esuw,Lovin' Mama Blues,0,194893,0,Hot Lips Page,['3GAp4nVDIMnsYFZnD9DWSz'],1937,0.72,0.173,7,-13.008,0,0.0622,0.981,2.09E-05,0.134,0.686,94.748,4,['tenderness']
5zpu9719Lmw6oxA6lYafPV,When a Woman Loves a Man,4,143560,0,Billie Holiday,['1YzCsTRb22dQkh9lghPIrp'],1937,0.672,0.154,5,-14.243,0,0.0349,0.926,0,0.214,0.457,87.309,4,['tenderness']
6jcMHOCEAB0HQ1XiR8V0GS,Who Wants Love?,4,152267,0,Billie Holiday,['1YzCsTRb22dQkh9lghPIrp'],1937,0.705,0.23,7,-10.82,0,0.0433,0.951,0,0.189,0.639,139.587,4,['tenderness']
7nS82WsuTGcBLFgSMv4KBU,Born to Love,4,158467,0,Billie Holiday,['1YzCsTRb22dQkh9lghPIrp'],1937,0.683,0.287,3,-9.947,1,0.0503,0.927,0,0.363,0.651,128.294,4,['tenderness']
3h44aLarb3Hp2mMiDWFTrB,The Man I Love - Live,11,215107,0,Benny Goodman,['1pBuKaLHJlIlqYxQQaflve'],1938,0.504,0.344,5,-19.052,0,0.111,0.91,0.636,0.919,0.348,80.477,4,['tenderness']
0pwqxyGzFFw7oIGTgJ8QU4,Long Gone Blues,4,185773,0,Billie Holiday,['1YzCsTRb22dQkh9lghPIrp'],1938,0.557,0.209,10,-10.778,1,0.0467,0.907,0.00414,0.117,0.502,94.096,4,['tenderness']
7aTd5NaxOVyJ2jUXOqBtdG,Blue Bird Blues,2,205133,0,Sonny Boy Williamson II,['69VgCcXFV59QuQWEXSTxfK'],1938,0.523,0.412,0,-6.24,1,0.0531,0.979,0.00416,0.0836,0.671,92.967,4,['tenderness']
3wxdOzW1Yf0mlcC8h2RG9f,Goodnight Irene,21,153948,0,Lead Belly,['3Ovf2lytXSXWFM2cwsJACC'],19/4/39,0.581,0.335,8,-8.579,1,0.0317,0.994,0.00248,0.12,0.588,133.615,4,['tenderness']
5UdvN14vnxzBQIRz1naPXa,Roberta,15,187617,0,Lead Belly,['3Ovf2lytXSXWFM2cwsJACC'],3/9/39,0.621,0.318,0,-9.316,1,0.0409,0.992,0.0124,0.124,0.693,128.444,4,['tenderness']
2HJkdM9HxJvAp1pgMcKBbg,Borrow Love & Go,13,71796,0,Lead Belly,['3Ovf2lytXSXWFM2cwsJACC'],3/9/39,0.542,0.201,4,-13.864,1,0.077,0.981,0.409,0.105,0.855,183.158,4,['tenderness']
1ONkUBQheufmmd5Q21ooKA,Over the Rainbow,6,333530,0,Karliene,['6o0tlyxHJhnel5vkFMrdAN'],1939,0.401,0.0325,8,-19.801,1,0.0368,0.855,0,0.108,0.167,84.692,4,['tenderness']
0WJxUbGtq8lcst0FdLi1KK,Vinganca,0,162360,0,Carmen Miranda,['7iSJhi05cFvFylzw921y3H'],1939,0.592,0.189,0,-18.728,0,0.0658,0.748,0.00139,0.294,0.473,117.648,4,['tenderness']
0d2yY0k4TP21YVSSd2vt9d,Over the Rainbow,1,333530,0,Karliene,['6o0tlyxHJhnel5vkFMrdAN'],1939,0.22,0.0325,8,-19.801,1,0.0402,0.855,0,0.108,0.168,168.627,4,['tenderness']
5Lg39iaVrH4nLBz8haZxKX,Borrow Love and Go,4,73654,0,Lead Belly,['3Ovf2lytXSXWFM2cwsJACC'],19/4/39,0.585,0.169,4,-14.4,1,0.0658,0.981,0.413,0.106,0.854,91.69,4,['tenderness']
5Lk4eHhOxyY1Oa32VJ475p,Roberta,3,188082,0,Lead Belly,['3Ovf2lytXSXWFM2cwsJACC'],19/4/39,0.619,0.28,0,-10.198,1,0.0384,0.991,0.00525,0.13,0.607,137.358,4,['tenderness']
5R66Um8wvV3QeBypgP5DRO,Falling In Love Again - Take 1,4,169773,0,Billie Holiday,['1YzCsTRb22dQkh9lghPIrp'],1939,0.588,0.128,5,-11.361,0,0.0485,0.968,0,0.16,0.542,128.014,4,['tenderness']
