id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Labels
6WKMEp3wLmRg48LFd8QcxG,La catrera,0,151536,0,"""Juan DArienzo""",['46beGPwcX2QEZcmuvrMqp4'],12/4/37,0.714,0.135,1,-12.518,1,0.129,0.95,0.00477,0.322,0.61,130.635,4,['tension']
6pMoPy6ZddeU3jXPntPx3a,Seven,0,237715,0,Mushy Peas,['7FUVtAMuAvXbrDnOZUJBkr'],17/1/37,0.819,0.412,2,-15.092,1,0.101,0.849,0.745,0.113,0.689,119.817,4,['tension']
1P3TvrLuFayQPeTD9yBS6b,Iubesc femeia,16,191974,0,Cristian Vasile,['7FLIM5DxOgzvUQoEDVGJ1x'],1/1/38,0.638,0.298,5,-10.302,1,0.0522,0.971,0,0.242,0.63,111.799,4,['tension']
02EE0lRw2QHL2HAu50TYI5,Fireball Mail,13,150326,0,Roy Acuff,['7heUyuJw3gZftFZRa1rV6M'],1938,0.812,0.4,9,-9.717,1,0.033,0.96,0.00278,0.296,0.727,116.154,4,['tension']
61qk62IaVEstkEPhYOgMXV,Praise The Lord And Pass The Ammunition,13,152133,0,Kay Kyser,['1rc9yw3jWWiTGBpUaUpuCa'],1938,0.624,0.279,7,-10.346,1,0.0361,0.916,0.000382,0.103,0.778,130.465,4,['tension']
71885ZTZCfhIsyWGuedUGH,Freight Train Blues,10,157292,0,Roy Acuff,['7heUyuJw3gZftFZRa1rV6M'],1938,0.555,0.506,7,-10.239,1,0.147,0.804,1.53E-06,0.115,0.706,171.736,4,['tension']
0tYvYBZmF8xsB2zhZCkLJs,Body and Soul - Live,9,190360,0,Benny Goodman,['1pBuKaLHJlIlqYxQQaflve'],1938,0.451,0.322,1,-17.146,1,0.0294,0.923,0.858,0.262,0.58,83.592,4,['tension']
0mMBCBuni37BDzgppkFtIj,Body and Soul - Live,6,45093,0,Benny Goodman,['1pBuKaLHJlIlqYxQQaflve'],1938,0.71,0.219,1,-22.629,1,0.929,0.984,7.20E-06,0.12,0.652,128.628,3,['tension']
5ApLwBTChkCKTlPrEiFk70,This World Can't Stand Long,6,159707,0,Roy Acuff,['7heUyuJw3gZftFZRa1rV6M'],1938,0.619,0.359,7,-7.464,1,0.036,0.785,0,0.284,0.86,168.614,4,['tension']
03sDamG97K2GTFuadBPaJv,Don't Be That Way - Live,0,17667,0,Benny Goodman,['1pBuKaLHJlIlqYxQQaflve'],1938,0.678,0.149,8,-23.793,0,0.948,0.986,0,0.119,0.837,144.483,3,['tension']
0DsAfFX9SERLBnBBwzkmVa,Sakhi Kahare Kohibo,0,196680,0,Maya Basu,['1OGEweZCWcyB2wSkCuZHXa'],31/12/38,0.484,0.313,5,-10.207,0,0.07,0.962,0,0.181,0.25,70.525,4,['tension']
0KNql3hCgwu1dpScGv4zag,Twenty Years of Jazz - Live,0,15427,0,Benny Goodman,['1pBuKaLHJlIlqYxQQaflve'],1938,0.612,0.114,1,-21.184,1,0.958,0.964,0,0.14,0.884,181.422,3,['tension']
18B6P04ShZ64yjdOHLieVg,Hai Koi Dil Lene Wala,0,182086,0,Jnan Dutt,['7CxWRdTh1PRIKQGWHNe1Ua'],31/12/38,0.491,0.226,10,-11.769,1,0.0468,0.994,0.00787,0.431,0.452,69.062,4,['tension']
22qbiFtw62sQWIDzJDb2lL,Coco de Indaiá,0,166475,0,Paraguassu,['7zFoxDwHIHK3DrBudYc9Nl'],1/12/38,0.665,0.248,7,-13.287,1,0.0762,0.996,0.00196,0.188,0.708,92.935,4,['tension']
3mZy9XoU9oR3ktZ01f4iv9,Nușa,1,194220,0,Cristian Vasile,['7FLIM5DxOgzvUQoEDVGJ1x'],1/1/38,0.623,0.211,5,-14.033,0,0.0549,0.996,0.499,0.27,0.358,113.187,4,['tension']
