,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Labels,Labels_list
0,5noY3HlTIAG7zWTvo5Esuw,Lovin' Mama Blues,0,194893,0,Hot Lips Page,['3GAp4nVDIMnsYFZnD9DWSz'],1937,0.72,0.173,7,-13.008,0,0.0622,0.981,2.09e-05,0.134,0.686,94.748,4,tenderness,['tenderness']
1,5smDXG2qVnai0gT6LV5ykD,Says My Heart - Take 2,2,165840,0,Billie Holiday,['1YzCsTRb22dQkh9lghPIrp'],1937,0.684,0.26,5,-14.748,1,0.0686,0.912,2.2e-06,0.12,0.628,134.793,4,"nostalgia, power, tension, sadness","['nostalgia', 'power', 'tension', 'sadness']"
2,5zpu9719Lmw6oxA6lYafPV,When a Woman Loves a Man,4,143560,0,Billie Holiday,['1YzCsTRb22dQkh9lghPIrp'],1937,0.672,0.154,5,-14.243,0,0.0349,0.926,0.0,0.214,0.457,87.309,4,tenderness,['tenderness']
3,60iiYgEUnphcbXi4za4Fn7,My Funny Valentine,0,233718,0,Barry E. Fry,['3Tn6L1ex4AAUfHuQJU3pv9'],1937,0.414,0.216,0,-17.001,0,0.0331,0.933,0.199,0.202,0.182,119.512,3,"tension, sadness","['tension', 'sadness']"
4,64CzEQH3WDItM71YcZojYP,When You're Smiling,3,176200,0,Hot Lips Page,['3GAp4nVDIMnsYFZnD9DWSz'],1937,0.511,0.324,3,-11.07,1,0.0556,0.924,0.952,0.212,0.855,179.699,3,"power, tension","['power', 'tension']"
5,659duflA1LthK15gcUyYxa,Forget If You Can - Take 1,3,171547,0,Billie Holiday,['1YzCsTRb22dQkh9lghPIrp'],1937,0.725,0.167,0,-14.842,1,0.0477,0.87,0.0,0.232,0.629,97.034,4,"tenderness, sadness","['tenderness', 'sadness']"
6,67BGtcJJyPulMsTBQ0LJIW,I've Got a Date with a Dream - Take 1,4,162067,0,Billie Holiday,['1YzCsTRb22dQkh9lghPIrp'],1937,0.602,0.13,10,-14.809,1,0.0819,0.953,0.0,0.125,0.543,101.446,4,"nostalgia, power, tension, sadness","['nostalgia', 'power', 'tension', 'sadness']"
7,67UYmYAY0mnktdAxGjPI1V,Yeh Duniya Prem Ki Basti Hai,0,204049,0,Sardar Mansoor,['708enuix1Gg9XeIKpsgQN4'],1937-12-31 00:00:00,0.356,0.319,5,-9.556,1,0.0372,0.96,0.151,0.69,0.296,101.312,4,"power, tension","['power', 'tension']"
8,69vS2obN7I9dmpJz83oIGo,Ain't the Gravy Good?,0,186787,0,The 1937 Flood,['6vId2LK5gk2yvSkXFXKzBh'],1937,0.638,0.442,7,-6.249,1,0.038,0.604,0.0,0.115,0.878,132.578,4,sadness,['sadness']
9,6C0oGIzjcRnK3t6zIe1q3F,My Funny Valentine,0,155024,0,Marie Earth Heart,['5lrfVtLwGtd055aUIJUgT5'],1937,0.338,0.225,10,-13.333,1,0.0389,0.958,7.95e-06,0.126,0.0721,125.517,3,"power, tension","['power', 'tension']"
