,id_x,name_x,artists_x,new_identifier,popularity_x,duration_ms_x,explicit_x,id_artists_x,release_date_x,danceability_x,energy_x,key_x,loudness_x,mode_x,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,tempo_x,time_signature_x,Labels,Labels_list,id_y,name_y,artists_y,popularity_y,duration_ms_y,explicit_y,id_artists_y,release_date_y,danceability_y,energy_y,key_y,loudness_y,mode_y,speechiness_y,acousticness_y,instrumentalness_y,liveness_y,valence_y,tempo_y,time_signature_y,genres,artists_list
0,5noY3HlTIAG7zWTvo5Esuw,lovin' mama blues,hot lips page,lovin' mama blues_hot lips page,0,194893,0,['3GAp4nVDIMnsYFZnD9DWSz'],1937,0.72,0.173,7,-13.008,0,0.0622,0.981,2.09e-05,0.134,0.686,94.748,4,tenderness,['tenderness'],5noY3HlTIAG7zWTvo5Esuw,lovin' mama blues,hot lips page,0,194893,0,['3GAp4nVDIMnsYFZnD9DWSz'],1937,0.72,0.173,7,-13.008,0,0.0622,0.981,2.09e-05,0.134,0.686,94.748,4,"['big band', 'jazz blues', 'jazz trumpet', 'stride', 'swing']",['hot lips page']
4,0ZgDZla35GkZ4Msq7z0TIu,says my heart - take 2,billie holiday,says my heart - take 2_billie holiday,14,165840,0,['1YzCsTRb22dQkh9lghPIrp'],1933,0.684,0.26,5,-14.748,1,0.0686,0.912,2.2e-06,0.12,0.628,134.793,4,"nostalgia, power, tension, sadness","['nostalgia', 'power', 'tension', 'sadness']",5smDXG2qVnai0gT6LV5ykD,says my heart - take 2,billie holiday,2,165840,0,['1YzCsTRb22dQkh9lghPIrp'],1937,0.684,0.26,5,-14.748,1,0.0686,0.912,2.2e-06,0.12,0.628,134.793,4,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",['billie holiday']
10,4ZVLo9AvcrOvIG6dYmvBsv,when a woman loves a man,billie holiday,when a woman loves a man_billie holiday,30,143560,0,['1YzCsTRb22dQkh9lghPIrp'],1933,0.672,0.154,5,-14.243,0,0.0349,0.926,0.0,0.214,0.457,87.309,4,tenderness,['tenderness'],3U93KoIHbwQRLTtKPjcYja,when a woman loves a man,billie holiday,0,143600,0,['1YzCsTRb22dQkh9lghPIrp'],1937,0.705,0.147,5,-14.399,0,0.0359,0.949,0.0,0.211,0.466,87.54,4,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",['billie holiday']
11,64CzEQH3WDItM71YcZojYP,when you're smiling,hot lips page,when you're smiling_hot lips page,3,176200,0,['3GAp4nVDIMnsYFZnD9DWSz'],1937,0.511,0.324,3,-11.07,1,0.0556,0.924,0.952,0.212,0.855,179.699,3,"power, tension","['power', 'tension']",64CzEQH3WDItM71YcZojYP,when you're smiling,hot lips page,3,176200,0,['3GAp4nVDIMnsYFZnD9DWSz'],1937,0.511,0.324,3,-11.07,1,0.0556,0.924,0.952,0.212,0.855,179.699,3,"['big band', 'jazz blues', 'jazz trumpet', 'stride', 'swing']",['hot lips page']
15,0dABOVX7mOQPdiUHwxM7sr,forget if you can - take 1,billie holiday,forget if you can - take 1_billie holiday,10,171547,0,['1YzCsTRb22dQkh9lghPIrp'],1933,0.725,0.167,0,-14.842,1,0.0477,0.87,0.0,0.232,0.629,97.034,4,"tenderness, sadness","['tenderness', 'sadness']",659duflA1LthK15gcUyYxa,forget if you can - take 1,billie holiday,3,171547,0,['1YzCsTRb22dQkh9lghPIrp'],1937,0.725,0.167,0,-14.842,1,0.0477,0.87,0.0,0.232,0.629,97.034,4,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",['billie holiday']
19,7glFHKIn8reUVqoGBqY2Hw,i've got a date with a dream - take 1,billie holiday,i've got a date with a dream - take 1_billie holiday,11,162067,0,['1YzCsTRb22dQkh9lghPIrp'],1933,0.602,0.13,10,-14.809,1,0.0819,0.953,0.0,0.125,0.543,101.446,4,"nostalgia, power, tension, sadness","['nostalgia', 'power', 'tension', 'sadness']",67BGtcJJyPulMsTBQ0LJIW,i've got a date with a dream - take 1,billie holiday,4,162067,0,['1YzCsTRb22dQkh9lghPIrp'],1937,0.602,0.13,10,-14.809,1,0.0819,0.953,0.0,0.125,0.543,101.446,4,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",['billie holiday']
20,69vS2obN7I9dmpJz83oIGo,ain't the gravy good?,the 1937 flood,ain't the gravy good?_the 1937 flood,0,186787,0,['6vId2LK5gk2yvSkXFXKzBh'],1937,0.638,0.442,7,-6.249,1,0.038,0.604,0.0,0.115,0.878,132.578,4,sadness,['sadness'],69vS2obN7I9dmpJz83oIGo,ain't the gravy good?,the 1937 flood,0,186787,0,['6vId2LK5gk2yvSkXFXKzBh'],1937,0.638,0.442,7,-6.249,1,0.038,0.604,0.0,0.115,0.878,132.578,4,"['jug band', 'string band']",['the 1937 flood']
21,6HsZXE13m5gTLOy2YobIaD,"blow, champ, blow",hot lips page,"blow, champ, blow_hot lips page",0,183573,0,['3GAp4nVDIMnsYFZnD9DWSz'],1937,0.559,0.411,1,-9.55,1,0.0647,0.501,1.36e-05,0.0565,0.747,145.989,4,"power, tension, sadness","['power', 'tension', 'sadness']",6HsZXE13m5gTLOy2YobIaD,"blow, champ, blow",hot lips page,0,183573,0,['3GAp4nVDIMnsYFZnD9DWSz'],1937,0.559,0.411,1,-9.55,1,0.0647,0.501,1.36e-05,0.0565,0.747,145.989,4,"['big band', 'jazz blues', 'jazz trumpet', 'stride', 'swing']",['hot lips page']
22,6Kn9byJnmA0c0Su3JLFrMg,san luigi,trio lescano,san luigi_trio lescano,2,202867,0,['67ADMLf2wkZTfocddPxMOO'],1937-01-01 00:00:00,0.593,0.259,0,-9.332,1,0.0644,0.973,0.0513,0.136,0.625,114.335,4,"tension, sadness","['tension', 'sadness']",6Kn9byJnmA0c0Su3JLFrMg,san luigi,trio lescano,2,202867,0,['67ADMLf2wkZTfocddPxMOO'],1937-01-01,0.593,0.259,0,-9.332,1,0.0644,0.973,0.0513,0.136,0.625,114.335,4,"['swing italiano', 'vintage italian pop']",['trio lescano']
23,6L47cvJNgod0eiVv23eJwZ,i can't believe that you're in love with me,hot lips page,i can't believe that you're in love with me_hot lips page,0,155667,0,['3GAp4nVDIMnsYFZnD9DWSz'],1937,0.698,0.246,2,-12.288,0,0.044,0.965,0.729,0.212,0.73,156.189,4,"power, tension","['power', 'tension']",6L47cvJNgod0eiVv23eJwZ,i can't believe that you're in love with me,hot lips page,0,155667,0,['3GAp4nVDIMnsYFZnD9DWSz'],1937,0.698,0.246,2,-12.288,0,0.044,0.965,0.729,0.212,0.73,156.189,4,"['big band', 'jazz blues', 'jazz trumpet', 'stride', 'swing']",['hot lips page']
