track_id,name,artist_x,new_identifier,explicit,energy,mode,instrumentalness,liveness,valence,popularity_norm,duration_ms_norm,danceability_norm,key_norm,loudness_norm,speechiness_norm,acousticness_norm,tempo_norm,time_signature_norm,artist_y,genre,title,album,year,lyrics,labels
0,0Z44FoBocXlcWS70n2vtcB,if i were a carpenter,johnny cash,if i were a carpenter_johnny cash,0,0.365,1,0.00515,0.177,0.667,0.16,0.0314857542194787,0.5035317860746721,0.6363636363636364,0.7195912873225648,0.0418125643666323,0.5090361445783133,0.3566143493207674,0.8,johnny cash,Country,if i were a carpenter,"Hello, I’m Johnny Cash",,"If I were a carpenter
And you were a lady
Would you marry me anyway?
Would you have my baby?

If you were a carpenter
And I were a lady
I'd marry you anyway
I'd have your baby

If a tinker was my trade
Would I still find you

I'd be carrying the pots you made
Following behind you

Save your  love through loneliness
Save your love through sorrow
I gave you my onliness
Give me your tomorrow

If I were a miller
At a mill wheel grinding
Would you miss your color blouse
And your soft shoe shining?

If you were a miller
At a mill wheel grinding
I'd miss my color blouse
And my soft shoe shining

Save your  love through loneliness
Save your love through sorrow
I gave you my onliness
Give me your tomorrow

If I worked my hands in wood
Would you still love me?

I'd answered you, ""Yes I would""
And would you not be above me

If I were a carpenter
And you were a lady

I'd marry you anyway
I'd have your baby

Save your  love through loneliness
Save your love through sorrow
I gave you my onliness
Give me your tomorrow","Nostalgia, Tenderness"
1,1UN6NjkwkztYxl6XzIp0pJ,if i were a carpenter,johnny cash,if i were a carpenter_johnny cash,0,0.366,1,0.00586,0.181,0.689,0.51,0.0315473433544433,0.4813319878910191,0.6363636363636364,0.7154460352422907,0.0446961894953656,0.5441767068273093,0.3578969157524322,0.8,johnny cash,Country,if i were a carpenter,"Hello, I’m Johnny Cash",,"If I were a carpenter
And you were a lady
Would you marry me anyway?
Would you have my baby?

If you were a carpenter
And I were a lady
I'd marry you anyway
I'd have your baby

If a tinker was my trade
Would I still find you

I'd be carrying the pots you made
Following behind you

Save your  love through loneliness
Save your love through sorrow
I gave you my onliness
Give me your tomorrow

If I were a miller
At a mill wheel grinding
Would you miss your color blouse
And your soft shoe shining?

If you were a miller
At a mill wheel grinding
I'd miss my color blouse
And my soft shoe shining

Save your  love through loneliness
Save your love through sorrow
I gave you my onliness
Give me your tomorrow

If I worked my hands in wood
Would you still love me?

I'd answered you, ""Yes I would""
And would you not be above me

If I were a carpenter
And you were a lady

I'd marry you anyway
I'd have your baby

Save your  love through loneliness
Save your love through sorrow
I gave you my onliness
Give me your tomorrow","Nostalgia, Tenderness"
2,6WJ9cUB9mgx7CAzIghmPLP,if i were a carpenter,johnny cash,if i were a carpenter_johnny cash,0,0.365,1,0.00515,0.177,0.667,0.1,0.0314857542194787,0.5035317860746721,0.6363636363636364,0.7195912873225648,0.0418125643666323,0.5090361445783133,0.3566143493207674,0.8,johnny cash,Country,if i were a carpenter,"Hello, I’m Johnny Cash",,"If I were a carpenter
And you were a lady
Would you marry me anyway?
Would you have my baby?

If you were a carpenter
And I were a lady
I'd marry you anyway
I'd have your baby

If a tinker was my trade
Would I still find you

I'd be carrying the pots you made
Following behind you

Save your  love through loneliness
Save your love through sorrow
I gave you my onliness
Give me your tomorrow

If I were a miller
At a mill wheel grinding
Would you miss your color blouse
And your soft shoe shining?

If you were a miller
At a mill wheel grinding
I'd miss my color blouse
And my soft shoe shining

Save your  love through loneliness
Save your love through sorrow
I gave you my onliness
Give me your tomorrow

If I worked my hands in wood
Would you still love me?

I'd answered you, ""Yes I would""
And would you not be above me

If I were a carpenter
And you were a lady

I'd marry you anyway
I'd have your baby

Save your  love through loneliness
Save your love through sorrow
I gave you my onliness
Give me your tomorrow","Nostalgia, Tenderness"
3,1XCtquImTMy9aYF7N6Asnq,folsom prison blues,johnny cash,folsom prison blues_johnny cash,0,0.54,1,7.51e-05,0.0868,0.79,0.19,0.0294079219291853,0.7608476286579212,0.4545454545454546,0.790412383749388,0.027394438722966,0.6937751004016064,0.4129295684326308,0.8,johnny cash,Country,folsom prison blues,Johnny Cash With His Hot and Blue Guitar,1955.0,"I hear the train a comin', it's rolling 'round the bend
And I ain't seen the sunshine since I don't know when
I'm stuck in Folsom prison, and time keeps draggin' on
But that train keeps a rollin' on down to San Antone

When I was just a baby my mama told me, ""Son
Always be a good boy, don't ever play with guns""
But I shot a man in Reno just to watch him die
When I hear that whistle blowing, I hang my head and cry

I bet there's rich folks eating in a fancy dining car
They're probably drinkin' coffee and smoking big cigars
Well I know I had it coming, I know I can't be free
But those people keep a-movin'
And that's what tortures me

Well if they freed me from this prison
If that railroad train was mine
I bet I'd move it on a little farther down the line
Far from Folsom prison, that's where I want to stay
And I'd let that lonesome whistle blow my blues away","Calmness, Sadness, Tension"
4,0Avmi9t3sOcaGSs1DSbgDg,folsom prison blues,johnny cash,folsom prison blues_johnny cash,0,0.54,1,7.51e-05,0.0868,0.79,0.55,0.0294079219291853,0.7608476286579212,0.4545454545454546,0.790412383749388,0.027394438722966,0.6937751004016064,0.4129295684326308,0.8,johnny cash,Country,folsom prison blues,Johnny Cash With His Hot and Blue Guitar,1955.0,"I hear the train a comin', it's rolling 'round the bend
And I ain't seen the sunshine since I don't know when
I'm stuck in Folsom prison, and time keeps draggin' on
But that train keeps a rollin' on down to San Antone

When I was just a baby my mama told me, ""Son
Always be a good boy, don't ever play with guns""
But I shot a man in Reno just to watch him die
When I hear that whistle blowing, I hang my head and cry

I bet there's rich folks eating in a fancy dining car
They're probably drinkin' coffee and smoking big cigars
Well I know I had it coming, I know I can't be free
But those people keep a-movin'
And that's what tortures me

Well if they freed me from this prison
If that railroad train was mine
I bet I'd move it on a little farther down the line
Far from Folsom prison, that's where I want to stay
And I'd let that lonesome whistle blow my blues away","Calmness, Sadness, Tension"
5,5dn2HlpOE8rLLtBPqhwX1y,folsom prison blues,johnny cash,folsom prison blues_johnny cash,0,0.54,1,7.51e-05,0.0868,0.79,0.22,0.0294079219291853,0.7608476286579212,0.4545454545454546,0.790412383749388,0.027394438722966,0.6937751004016064,0.4129295684326308,0.8,johnny cash,Country,folsom prison blues,Johnny Cash With His Hot and Blue Guitar,1955.0,"I hear the train a comin', it's rolling 'round the bend
And I ain't seen the sunshine since I don't know when
I'm stuck in Folsom prison, and time keeps draggin' on
But that train keeps a rollin' on down to San Antone

When I was just a baby my mama told me, ""Son
Always be a good boy, don't ever play with guns""
But I shot a man in Reno just to watch him die
When I hear that whistle blowing, I hang my head and cry

I bet there's rich folks eating in a fancy dining car
They're probably drinkin' coffee and smoking big cigars
Well I know I had it coming, I know I can't be free
But those people keep a-movin'
And that's what tortures me

Well if they freed me from this prison
If that railroad train was mine
I bet I'd move it on a little farther down the line
Far from Folsom prison, that's where I want to stay
And I'd let that lonesome whistle blow my blues away","Calmness, Sadness, Tension"
6,0LTSNmOLBt25GMjHlxp9OR,folsom prison blues,johnny cash,folsom prison blues_johnny cash,0,0.527,1,0.0784,0.278,0.777,0.58,0.0271091875681085,0.6952573158425832,0.4545454545454546,0.7658162016642193,0.0323377960865087,0.1947791164658634,0.4485694919656954,0.8,johnny cash,Country,folsom prison blues,Johnny Cash With His Hot and Blue Guitar,1955.0,"I hear the train a comin', it's rolling 'round the bend
And I ain't seen the sunshine since I don't know when
I'm stuck in Folsom prison, and time keeps draggin' on
But that train keeps a rollin' on down to San Antone

When I was just a baby my mama told me, ""Son
Always be a good boy, don't ever play with guns""
But I shot a man in Reno just to watch him die
When I hear that whistle blowing, I hang my head and cry

I bet there's rich folks eating in a fancy dining car
They're probably drinkin' coffee and smoking big cigars
Well I know I had it coming, I know I can't be free
But those people keep a-movin'
And that's what tortures me

Well if they freed me from this prison
If that railroad train was mine
I bet I'd move it on a little farther down the line
Far from Folsom prison, that's where I want to stay
And I'd let that lonesome whistle blow my blues away","Calmness, Sadness, Tension"
7,78tzpjeZDPIErwBndXq3Zo,folsom prison blues,johnny cash,folsom prison blues_johnny cash,0,0.407,1,0.000967,0.0899,0.79,0.01,0.0293093081119298,0.7537840565085772,0.4545454545454546,0.7312622369065099,0.0282183316168898,0.7891566265060241,0.4126211030883063,0.8,johnny cash,Country,folsom prison blues,Johnny Cash With His Hot and Blue Guitar,1955.0,"I hear the train a comin', it's rolling 'round the bend
And I ain't seen the sunshine since I don't know when
I'm stuck in Folsom prison, and time keeps draggin' on
But that train keeps a rollin' on down to San Antone

When I was just a baby my mama told me, ""Son
Always be a good boy, don't ever play with guns""
But I shot a man in Reno just to watch him die
When I hear that whistle blowing, I hang my head and cry

I bet there's rich folks eating in a fancy dining car
They're probably drinkin' coffee and smoking big cigars
Well I know I had it coming, I know I can't be free
But those people keep a-movin'
And that's what tortures me

Well if they freed me from this prison
If that railroad train was mine
I bet I'd move it on a little farther down the line
Far from Folsom prison, that's where I want to stay
And I'd let that lonesome whistle blow my blues away","Calmness, Sadness, Tension"
8,1cRtV2ocYQg2hDH0nESOBL,folsom prison blues,johnny cash,folsom prison blues_johnny cash,0,0.54,1,7.51e-05,0.0868,0.79,0.11,0.0294079219291853,0.7608476286579212,0.4545454545454546,0.790412383749388,0.027394438722966,0.6937751004016064,0.4129295684326308,0.8,johnny cash,Country,folsom prison blues,Johnny Cash With His Hot and Blue Guitar,1955.0,"I hear the train a comin', it's rolling 'round the bend
And I ain't seen the sunshine since I don't know when
I'm stuck in Folsom prison, and time keeps draggin' on
But that train keeps a rollin' on down to San Antone

When I was just a baby my mama told me, ""Son
Always be a good boy, don't ever play with guns""
But I shot a man in Reno just to watch him die
When I hear that whistle blowing, I hang my head and cry

I bet there's rich folks eating in a fancy dining car
They're probably drinkin' coffee and smoking big cigars
Well I know I had it coming, I know I can't be free
But those people keep a-movin'
And that's what tortures me

Well if they freed me from this prison
If that railroad train was mine
I bet I'd move it on a little farther down the line
Far from Folsom prison, that's where I want to stay
And I'd let that lonesome whistle blow my blues away","Calmness, Sadness, Tension"
9,4WlZJ2QfxoOkT3mg58jT0Z,"cry, cry, cry",johnny cash,"cry, cry, cry_johnny cash",0,0.49,1,7.56e-05,0.106,0.9,0.17,0.0255660771316693,0.8819374369323915,0.4545454545454546,0.7795980176211453,0.0642636457260556,0.7279116465863454,0.4206858483405782,0.8,johnny cash,Country,"cry, cry, cry",Johnny Cash With His Hot and Blue Guitar,1955.0,"Everybody knows where you go when the sun goes down
I think you only live to see the lights of town
I wasted my time when I would try, try, try
Cause when the lights have lost their glow, you'll cry, cry, cry

Soon your sugar-daddies will all be gone
You'll wake up some cold day and find you're alone
You'll call for me but I'm gonna tell you: ""Bye, bye, bye!""
When I turn around and walk away, you'll cry, cry, cry

You're gonna cry, cry, cry and you'll cry alone
When everyone's forgotten and you're left on your own
You're gonna cry, cry, cry

I lie awake at night to wait 'til you come in
You stay a little while and then you're gone again
Every question that I ask, I get a lie, lie, lie
For every lie you tell, you're gonna cry, cry, cry

When your fickle love gets old, no one will care for you
Then you'll come back to me for a little love that's true
I'll tell you no and then you'll ask me: ""Why, why, why?""
When I remind you of all of this, you'll cry, cry, cry

You're gonna cry, cry, cry and you'll want me then
It'll hurt when you think of the fool you've been
You're gonna cry, cry, cry","Nostalgia, Power, Sadness, Tenderness"
